fid,Nom,azimuth,type,longueur,x1,y1,x2,y2,magnitude
"332",,166.159304508351,,929.707673599249,688227.494771354,6492845.64868537,688449.902383751,6491942.93543506,5.1
"333",,55.1542665801731,,1259.35124084364,687874.259151665,6498458.17019821,688907.800409274,6499177.72423832,5.4
"334",,17.3933221469162,,2275.80573931336,690359.991290217,6504947.2393599,689679.685652298,6502775.49443885,6.1
"335",,19.5024485066638,,666.195944950724,689483.443641359,6501061.64754333,689261.036028963,6500433.67310832,4.7
"336",,15.7511736634499,,1060.27201456908,689758.182456673,6501061.64754333,689470.36084063,6500041.18908645,5.2
"337",,79.0771952801129,,1518.95767483119,686029.584248845,6497908.69256758,687521.023531976,6498196.51418363,5.6
"338",,162.050597007077,,976.401244010986,687337.864321767,6499073.06183248,687638.768738539,6498144.18298071,5.1
"339",,66.0375110254064,,1932.75966047033,685637.100226968,6499112.31023467,687403.278325413,6499897.27827842,5.9
"340",,117.552811576747,,678.794405461908,687089.291107912,6500603.7495178,687691.099941456,6500289.7623003,4.7
"341",,60.6039471450531,,1066.14792648453,687586.437535622,6500656.08072072,688515.316387397,6501179.39274989,5.2
"342",,85.049727765684,,1667.73640526858,688646.144394689,6499661.7878653,690307.6600873,6499805.69867332,5.7
"343",,70.7613554830959,,2064.63839543277,680933.833364813,6499426.29745217,682883.170673467,6500106.60309009,6
"344",,18.6417918937324,,572.998295298813,688436.819583022,6497843.27856394,688619.978793231,6498386.2147942,4.5
"345",,63.4349488229603,,234.032254132917,688705.016997971,6498438.54599712,688914.341809638,6498543.20840295,3.5
"346",,40.0062560141476,,478.238555129936,688711.558398335,6498085.31037743,689019.004215472,6498451.62879785,4.3
"347",,8.48160579402762,,753.965563092467,689162.915023494,6499288.92804452,689051.711217295,6498543.20840295,4.8
"348",,168.146995832252,,541.397213976461,687906.966153488,6498902.985423,688018.169959687,6498373.13199347,4.5
"349",,56.3099324740594,,471.707088558576,687645.310138904,6497856.36136467,688037.794160781,6498118.01737925,4.3
"350",,49.6501848498889,,969.915647508449,691223.456138346,6494932.35540169,691962.634379547,6495560.32983669,5.1
"351",,45.4373638675005,,1211.90807014954,691733.685366786,6494860.39999767,692597.150214914,6495710.78204507,5.4
"352",,153.638124494374,,824.968882687335,687422.902526507,6498150.72438107,687789.220946925,6497411.54613987,4.9
"353",,79.1391853783334,,1145.64181889862,686278.1574627,6497195.67992784,687403.278325413,6497411.54613987,5.3
"354",,61.4341632062216,,670.32599277167,687828.469349113,6497666.66075409,688417.195381928,6497987.18937196,4.7
"355",,162.412367256783,,1818.47400569354,688266.743173542,6497902.15116722,688816.220804169,6496168.6800706,5.8
"356",,84.8055710922736,,867.025543021016,687808.845148019,6497038.68631909,688672.309996148,6497117.18312346,5
"357",,93.513750260599,,747.124146199704,689987.131469435,6496992.89651654,689241.411827869,6497038.68631909,4.8
"358",,53.2713986879793,,1061.01836547295,688763.889601252,6496698.53350013,689614.271648652,6497333.0493355,5.2
"359",,50.25027272973,,859.316954054705,688600.354592137,6497378.83913805,689261.036028963,6497928.31676868,5
"360",,17.6428917307663,,2244.61555302379,687658.392939633,6496626.57809612,686978.087301714,6494487.54017689,6.1
"361",,107.850318302317,,405.461302421458,686186.577857596,6496116.34886768,686572.520479108,6495992.06226075,4.1
"362",,63.4349488227661,,248.659270016621,686441.692471816,6495965.89665929,686664.100084212,6496077.10046549,3.6
"363",,86.2977871468064,,1114.36359930991,691982.258580641,6497234.92833003,693094.296642625,6497306.88373404,5.3
"364",,32.8163434140183,,832.841270960489,692132.710789027,6496953.64811435,692584.067414185,6497653.57795336,5
"365",,47.770215797247,,574.229147408856,690922.551721574,6499040.35483066,691347.742745274,6499426.29745217,4.5
"366",,89.3904934233257,,614.926427971731,688377.94697974,6499125.3930354,688992.838614014,6499131.93443577,4.6
"367",,33.690067525977,,660.389923982426,689921.717465788,6497856.36136467,689555.39904537,6497306.88373404,4.7
"368",,5.19442890773479,,361.260642924844,689162.915023494,6497725.53335737,689130.208021671,6497365.75633732,4
"369",,5.51147741602264,,749.183131138637,688914.341809638,6499288.92804452,688842.386405628,6498543.20840295,4.8
"370",,64.6871161981578,,535.476652535237,687377.112723955,6499099.22743394,687861.176350936,6499328.1764467,4.5
"371",,61.843808551674,,526.775685624442,687534.106332706,6498831.03001899,687998.545758593,6499079.60323285,4.4
"372",,164.827084654477,,1199.64717173441,687808.845148019,6497254.55253112,688122.832365521,6496096.72466659,5.4
"373",,94.5139884579939,,498.693300195136,688763.889601252,6497542.37414716,689261.036028963,6497503.12574498,4.4
"374",,99.4623222080109,,596.84677550295,688057.418361874,6497535.8327468,688646.144394689,6497437.71174133,4.6
"375",,9.2110265408127,,490.386932190762,688031.252760416,6498445.08739748,687952.755956041,6497961.0237705,4.4
"376",,99.4623222080108,,1114.11398093885,686729.514087858,6499485.17005545,687828.469349113,6499302.01084524,5.3
"377",,81.4692343900656,,793.749811579437,693355.952657209,6498713.28481243,694140.920700962,6498831.03001899,4.9
